Time;De Elsberg 1;De Elsberg 2;Posbank;Lappendeken
Wed Apr 22, 2020;;;123;58
Thu Apr 23, 2020;12;15;220;81
Fri Apr 24, 2020;21;14;297;88
Sat Apr 25, 2020;32;26;303;127
Sun Apr 26, 2020;83;45;521;131
Mon Apr 27, 2020;41;32;395;66
Tue Apr 28, 2020;11;11;104;34
Wed Apr 29, 2020;40;31;227;78
Thu Apr 30, 2020;19;14;247;74
Fri May 1, 2020;11;10;138;66
Sat May 2, 2020;37;29;230;91
Sun May 3, 2020;99;87;650;164
Mon May 4, 2020;21;18;387;76
Tue May 5, 2020;44;68;639;130
Wed May 6, 2020;38;0;298;63
Thu May 7, 2020;25;0;347;52
Fri May 8, 2020;26;0;303;90
Sat May 9, 2020;57;0;385;124
Sun May 10, 2020;56;23;330;118
Mon May 11, 2020;14;9;142;38
Tue May 12, 2020;22;17;129;57
Wed May 13, 2020;63;40;148;48
Thu May 14, 2020;40;22;286;48
Fri May 15, 2020;23;14;250;36
Sat May 16, 2020;40;33;369;130
Sun May 17, 2020;72;60;628;162
Mon May 18, 2020;52;5;220;33
Tue May 19, 2020;25;18;172;30
Wed May 20, 2020;27;21;229;38
Thu May 21, 2020;48;37;511;137
Fri May 22, 2020;34;18;343;70
Sat May 23, 2020;33;21;488;103
Sun May 24, 2020;44;42;146;87
Mon May 25, 2020;24;19;204;47
Tue May 26, 2020;27;23;213;34
Wed May 27, 2020;34;28;215;48
Thu May 28, 2020;19;19;257;45
Fri May 29, 2020;15;12;282;59
Sat May 30, 2020;75;24;446;89
Sun May 31, 2020;85;0;746;142
Mon Jun 1, 2020;61;0;446;120
Tue Jun 2, 2020;12;0;113;31
Wed Jun 3, 2020;56;40;156;38
Thu Jun 4, 2020;10;6;51;66
Fri Jun 5, 2020;3;3;40;15
Sat Jun 6, 2020;19;22;302;91
Sun Jun 7, 2020;59;65;394;163
Mon Jun 8, 2020;0;42;113;38
Tue Jun 9, 2020;0;12;159;51
Wed Jun 10, 2020;0;26;225;32
Thu Jun 11, 2020;0;9;144;47
Fri Jun 12, 2020;0;12;200;57
Sat Jun 13, 2020;0;34;349;77
Sun Jun 14, 2020;0;0;240;143
Mon Jun 15, 2020;0;0;214;52
